Archivo,Tamaño del Arreglo,Tiempo Merge Sort (µs),Tiempo Shell Sort (µs),Comparaciones Merge Sort,Intercambios Merge Sort,Comparaciones Shell Sort,Intercambios Shell Sort
arreglo1.csv,100000,14003,6978,853904,815024,0,1499990
arreglo2.csv,100000,12965,6981,853904,815024,0,1499990
arreglo3.csv,100000,14962,7979,853904,815024,0,1499990
arreglo4.csv,100000,16167,6937,853904,815024,0,1499990
arreglo5.csv,100000,13965,6944,853904,815024,0,1499990
arreglo6.csv,100000,14101,5985,853904,815024,0,1499990
arreglo7.csv,100000,14958,6159,853904,815024,0,1499990
arreglo8.csv,100000,14076,5985,853904,815024,0,1499990
arreglo9.csv,100000,17990,10973,853904,815024,0,1499990
arreglo10.csv,100000,16953,7019,853904,815024,0,1499990
arreglo11.csv,100000,13922,5984,853904,815024,0,1499990
arreglo12.csv,100000,19049,6021,853904,815024,0,1499990
arreglo13.csv,100000,13965,6939,853904,815024,0,1499990
arreglo14.csv,100000,12965,6981,853904,815024,0,1499990
arreglo15.csv,100000,15917,6979,853904,815024,0,1499990
arreglo16.csv,100000,14121,5985,853904,815024,0,1499990
arreglo17.csv,100000,12924,7146,853904,815024,0,1499990
arreglo18.csv,100000,14063,6023,853904,815024,0,1499990
arreglo19.csv,100000,14109,5984,853904,815024,0,1499990
arreglo20.csv,100000,12924,5984,853904,815024,0,1499990
arreglo21.csv,100000,13011,6935,853904,815024,0,1499990
arreglo22.csv,100000,14001,5987,853904,815024,0,1499990
arreglo23.csv,100000,12965,6980,853904,815024,0,1499990
arreglo24.csv,100000,12965,6982,853904,815024,0,1499990
arreglo25.csv,100000,13961,5981,853904,815024,0,1499990
arreglo26.csv,100000,13970,6978,853904,815024,0,1499990
arreglo27.csv,100000,13963,6982,853904,815024,0,1499990
arreglo28.csv,100000,12964,6982,853904,815024,0,1499990
arreglo29.csv,100000,13967,5986,853904,815024,0,1499990
arreglo30.csv,100000,19084,6985,853904,815024,0,1499990
